abbr,full_name_en,full_name_zh
A1/2/3ll,area1/2/3 (lower limb region),1/2/3区（下肢区）
A1/2/3tonIa,area 1/2/3(tongue and larynx region),1/2/3区（舌和喉部）
A1/2/3tru,area1/2/3(trunk region),1/2/3区（躯干区）
A1/2/3ulhf,"area 1/2/3(upper limb, head and face region)",1/2/3区（上肢、头面部）
A10l,lateral area10,10区外侧部
A10m,medial area 10,10区内侧部
A11l,lateral area 11,11区外侧部
A11m,medial area 11,11区内侧部
A12/47l,lateral area 12/47,12/47区外侧部
A12/47o,orbital area 12/47,12/47区眶部
A13,area 13,13区
A14m,medial area 14,14区内侧部
A2,area 2,2区
A20cl,caudolateral of area 20,20区尾侧外侧部
A20cv,caudoventral of area 20,20区尾侧腹侧部
A20il,intermediate lateral area 20,20区中间外侧部
A20iv,intermediate ventral area 20,20区中间腹侧部
A20r,rostral area 20,20区嘴侧部
A20rv,rostroventral area 20,20区嘴侧腹侧部
A21c,caudal area 21,21区尾侧部
A21r,rostral area 21,21区嘴侧部
A22c,caudal area 22,22区尾侧部
A22r,rostral area 22,22区嘴侧部
A23c,caudal area 23,23区尾侧部
A23d,dorsal area 23,23区背侧部
A23v,ventral area 23,23区腹侧部
A24cd,caudodorsal area 24,24区尾侧背侧部
A24rv,rostroventral area 24,24区嘴侧腹侧部
A28/34,"area 28/34 (EC, entorhinal cortex)",28/34区（内嗅皮层）
A31,area 31 (Lc1),31区
A32p,pregenual area 32,32区前膝部
A32sg,subgenual area 32,32区胼胝体下部
A35/36c,caudal area 35/36,35/36区尾侧部
A35/36r,rostral area 35/36,35/36区嘴侧部
A37dl,dorsolateral area37,37区背外侧部
A37elv,extreme lateroventral area37,37区极外侧腹侧部
A37lv,lateroventral area37,37区外侧腹侧部
A37mv,medioventral area37,37区内侧腹侧部
A37vl,ventrolateral area 37,37区腹外侧部
A38l,lateral area 38,38区外侧部
A38m,medial area 38,38区内侧部
A39c,caudal area 39(PGp),39区尾侧部
A39rd,rostrodorsal area 39(Hip3),39区嘴侧背侧部
A39rv,rostroventral area 39(PGa),39区嘴侧腹侧部
A40c,caudal area 40(PFm),40区尾侧部
A40rd,rostrodorsal area 40(PFt),40区嘴侧背侧部
A40rv,rostroventral area 40(PFop),40区嘴侧腹侧部
A41/42,area 41/42,41/42区
A44d,dorsal area 44,44区背侧部
A44op,opercular area 44,44区盖部
A44v,ventral area 44,44区腹侧部
A45c,caudal area 45,45区尾侧部
A45r,rostral area 45,45区嘴侧部
A46,area 46,46区
A4hf,area 4(head and face region),4区（头面部）
A4ll,"area 4, (lower limb region)",4区（下肢区）
A4t,area 4(trunk region),4区（躯干区）
A4tl,area 4(tongue and larynx region),4区（舌和喉部）
A4ul,area 4(upper limb region),4区（上肢区）
A5l,lateral area 5,5区外侧部
A5m,medial area 5(PEm),5区内侧部
A6cdl,caudal dorsolateral area 6,6区尾侧背外侧部
A6cvl,caudal ventrolateral area 6,6区尾侧腹外侧部
A6dl,dorsolateral area 6,6区背外侧部
A6m,medial area 6,6区内侧部
A6vl,ventrolateral area 6,6区腹外侧部
A7c,caudal area 7,7区尾侧部
A7ip,intraparietal area 7(hIP3),7区顶内沟部
A7m,medial area 7(PEp),7区内侧部
A7pc,postcentral area 7,7区中央后部
A7r,rostral area 7,7区嘴侧部
A8dl,dorsolateral area 8,8区背外侧部
A8m,medial area 8,8区内侧部
A8vl,ventrolateral area 8,8区腹外侧部
A9/46d,dorsal area 9/46,9/46区背侧部
A9/46v,ventral area 9/46,9/46区腹侧部
A9l,lateral area 9,9区外侧部
A9m,medial area 9,9区内侧部
G,hypergranular insula,高颗粒脑岛
GP,globus pallidus,苍白球
