index,label_en,label_zh,r,g,b,a
0,Unknown,未知,25,5,25,0
1,A8m_L,8区内侧部（左侧）,0,255,0,255
2,A8m_R,8区内侧部（右侧）,0,0,255,255
3,A8dl_L,8区背外侧部（左侧）,255,0,0,255
4,A8dl_R,8区背外侧部（右侧）,0,246,255,255
5,A9l_L,9区外侧部（左侧）,255,123,220,255
6,A9l_R,9区外侧部（右侧）,255,220,123,255
7,A6dl_L,6区背外侧部（左侧）,0,141,255,255
8,A6dl_R,6区背外侧部（右侧）,0,106,9,255
9,A6m_L,6区内侧部（左侧）,158,70,53,255
10,A6m_R,6区内侧部（右侧）,62,0,106,255
11,A9m_L,9区内侧部（左侧）,255,237,255,255
12,A9m_R,9区内侧部（右侧）,141,255,158,255
13,A10m_L,10区内侧部（左侧）,229,0,255,255
14,A10m_R,10区内侧部（右侧）,79,123,141,255
15,A9/46d_L,9/46区背侧部（左侧）,220,255,0,255
16,A9/46d_R,9/46区背侧部（右侧）,255,0,106,255
17,IFJ_L,额下回交界区（左侧）,237,132,0,255
18,IFJ_R,额下回交界区（右侧）,123,88,246,255
19,A46_L,46区（左侧）,141,0,88,255
20,A46_R,46区（右侧）,123,106,0,255
21,A9/46v_L,9/46区腹侧部（左侧）,158,185,141,255
22,A9/46v_R,9/46区腹侧部（右侧）,141,106,176,255
23,A8vl_L,8区腹外侧部（左侧）,97,185,0,255
24,A8vl_R,8区腹外侧部（右侧）,255,158,176,255
25,A6vl_L,6区腹外侧部（左侧）,0,44,97,255
26,A6vl_R,6区腹外侧部（右侧）,62,193,255,255
27,A10l_L,10区外侧部（左侧）,62,79,44,255
28,A10l_R,10区外侧部（右侧）,167,9,167,255
29,A44d_L,44区背侧部（左侧）,97,62,79,255
30,A44d_R,44区背侧部（右侧）,0,185,141,255
31,IFS_L,额下沟（左侧）,255,211,0,255
32,IFS_R,额下沟（右侧）,255,106,79,255
33,A45c_L,45区尾侧部（左侧）,0,0,158,255
34,A45c_R,45区尾侧部（右侧）,70,0,0,255
35,A45r_L,45区嘴侧部（左侧）,237,185,255,255
36,A45r_R,45区嘴侧部（右侧）,202,149,106,255
37,A44op_L,44区盖部（左侧）,255,0,167,255
