index,label_en,label_zh,r,g,b,a
1,Superior occipital sulcus inferior LH,上枕沟下部左侧,242,92,92,255
2,Superior occipital gyrus,上枕回,242,93,92,255
3,Insula antero-inferior,脑岛前下部,242,95,92,255
4,Middle frontal gyrus middle RH,额中回中部右侧,242,97,92,255
5,Calcarine cortex posterior LH,距状皮层后部左侧,242,99,92,255
6,Lateral fissure posterior ramus RH,外侧裂后支右侧,242,100,92,255
7,Superior occipital gyrus superior LH,上枕回上部左侧,242,102,92,255
8,Angular gyrus inferior LH,角回下部左侧,242,104,92,255
9,Calcarine sulcus anterior LH,距状沟前部左侧,242,106,92,255
10,Frontal pole inferior RH,额极下部右侧,242,107,92,255
11,Midbrain superior,中脑上部,242,109,92,255
12,Occipitotemporal gyrus mid-posterior RH,颞叶回后部,242,111,92,255
13,Insula postero-inferior medial,脑岛后下内侧,242,113,92,255
14,Cerebellum VI RH,小脑右侧,242,114,92,255
15,Fusiform gyrus anterior LH,梭状回前部左侧,242,116,92,255
16,Cerebellum Crus I anterior RH,小脑Crus I前部右侧,242,118,92,255
17,Supramarginal gyrus antero-superior LH,缘上回前上部左侧,242,120,92,255
18,Angular sulcus superior LH,角沟上部左侧,242,121,92,255
19,Paracingulate sulcus LH,扣带回旁沟左侧,242,123,92,255
20,Superior frontal gyrus superior,上额回上部,242,125,92,255
21,Pars triangularis LH,三角部左侧,242,127,92,255
22,Superior longitudinal fasciculus II LH,上纵束II左侧,242,129,92,255
23,Corona radiata antero-superior,放射冠前上部,242,130,92,255
24,Dorsomedial prefrontal cortex antero-superior LH,内侧前额叶皮层前上部左侧,242,132,92,255
25,Superior longitudinal fasciculus III anterior LH,上纵束III前部左侧,242,134,92,255
26,Cuneus antero-inferior,楔叶前下部,242,136,92,255
27,Anterior vertical ramus of the lateral fissure LH,外侧裂前垂直支左侧,242,137,92,255
28,Corpus callosum isthmus anterior,胼胝体峡部前部,242,139,92,255
29,Internal capsule posterior limb RH,内囊后肢右侧,242,141,92,255
30,Cingulate gyrus middle inferior,扣带回中部下部,242,143,92,255
31,Caudate RH,尾状核右侧,242,144,92,255
32,Superior frontal sulcus anterior RH,上额沟前部右侧,242,146,92,255
33,Pars orbitalis RH,眶部右侧,242,148,92,255
34,Cerebellum VIIb,小脑VIIb,242,150,92,255
35,Intraparietal sulcus anterior LH,顶内沟前部左侧,242,151,92,255
36,Superior longitudinal fasciculus I posterior RH,上纵束I后部右侧,242,153,92,255
37,Superior longitudinal fasciculus II middle RH,上纵束II中部右侧,242,155,92,255
38,Angular gyrus postero-inferior RH,角回后下部右侧,242,157,92,255
39,Cerebrospinal fluid (between middle frontal gyrus and skull),额中回与颅骨之间的脑脊液,242,158,92,255
40,Cerebellum III anterior,小脑III前部,242,160,92,255
41,Central sulcus middle RH,中央沟中部右侧,242,162,92,255
42,Cerebrospinal fluid (between interhemispheric fissure and superior frontal gyrus superior),(裂和额上回),242,164,92,255
43,Superior frontal gyrus superior RH,上额回上部右侧,242,165,92,255
44,Frontal pole superior RH,额极上部右侧,242,167,92,255
45,Postcentral sulcus LH,中央后沟左侧,242,169,92,255
46,Frontomarginal gyrus,额缘回,242,171,92,255
47,Paracingulate sulcus posterior RH,扣带回旁沟后部右侧,242,173,92,255
48,Middle frontal gyrus mid-anterior LH,额中回中前部左侧,242,174,92,255
49,Middle frontal gyrus posterior lateral RH,额中回后外侧右侧,242,176,92,255
50,Intraparietal sulcus superior LH,顶内沟上部左侧,242,178,92,255
