index,label_en,label_zh,r,g,b,a
1,Middle frontal gyrus anterior LH,额中回前部左侧,242,92,92,255
2,Middle frontal gyrus anterior RH,额中回前部右侧,242,95,92,255
3,Cerebrospinal fluid (between superior parietal lobule and skull),顶上小叶与颅骨之间的脑脊液,242,99,92,255
4,Inferior frontal sulcus posterior RH,额下沟后部右侧,242,102,92,255
5,Superior longitudinal fasciculus II middle,上纵束II中部,242,106,92,255
6,Cuneus anterior,楔叶前部,242,109,92,255
7,Lateral ventricles anterior horns,侧脑室前角,242,113,92,255
8,Lateral occipital cortex LH,枕外侧皮质左侧,242,116,92,255
9,Retrocalcarine cortex,距后皮质,242,120,92,255
10,Collateral sulcus anterior,外侧沟前部,242,123,92,255
11,Cerebrospinal fluid (between intraparietal sulcus and skull),顶内沟与颅骨之间的脑脊液,242,127,92,255
12,Superior frontal gyrus anterior,上额回前部,242,130,92,255
13,Cingulate cortex mid-anterior,扣带皮层中前部,242,134,92,255
14,Cingulate cortex mid-posterior,扣带皮层中后部,242,137,92,255
15,Posterior cingulate cortex posterior,后扣带皮层后部,242,141,92,255
16,Pars opercularis pars triangularis LH,岛盖部三角部左侧,242,144,92,255
17,Medial frontal cortex posterior,内侧额叶皮层后部,242,148,92,255
18,Cerebrospinal fluid (between precuneus and skull),楔前叶与颅骨之间的脑脊液,242,151,92,255
19,Dorsal visual stream superior,背侧视觉流上部,242,155,92,255
20,Frontal operculum LH,额叶岛盖左侧,242,158,92,255
21,Amygdala,杏仁核,242,162,92,255
22,Supramarginal gyrus LH,缘上回左侧,242,165,92,255
23,Postcentral gyrus LH,中央后回左侧,242,169,92,255
24,Parieto-occipital sulcus middle,顶枕沟中部,242,173,92,255
25,Occipital pole inferior,枕极下部,242,176,92,255
26,Superior temporal gyrus LH,上颞回左侧,242,180,92,255
27,Intraparietal sulcus anterior,顶内沟前部,242,183,92,255
28,Inferior occipital gyrus,枕下回,242,187,92,255
29,Angular gyrus superior RH,角回上部右侧,242,190,92,255
30,Postcentral sulcus superior LH,中央后沟上部左侧,242,194,92,255
31,Superior occipital sulcus RH,上枕沟右侧,242,197,92,255
32,Anterior cingulate cortex middle,前扣带皮层中部,242,201,92,255
33,Cerebellum IX,小脑IX,242,204,92,255
34,Corpus callosum forceps minor LH,胼胝体小钳左侧,242,208,92,255
35,Occipitotemporal sulcus posterior RH,颞枕沟后部右侧,242,211,92,255
36,Cerebellum VIIb,小脑VIIb,242,215,92,255
37,Caudate inferior,尾状核下部,242,218,92,255
38,Supramarginal gyrus RH,缘上回右侧,242,222,92,255
39,Paracingulate gyrus anterior,扣带回旁回前部,242,225,92,255
40,Paracingulate gyrus posterior,扣带回旁回后部,242,229,92,255
41,Thalamus middle,丘脑中部,242,232,92,255
42,Postcentral sulcus inferior,中央后沟下部,242,236,92,255
43,Ventromedial prefrontal cortex,腹内侧前额叶皮层,242,239,92,255
44,Precentral sulcus medial,中央前沟内侧,241,242,92,255
45,Superior frontal sulcus LH,上额沟左侧,237,242,92,255
46,Postcentral sulcus superior RH,中央后沟上部右侧,234,242,92,255
47,Supramarginal gyrus anterior RH,缘上回前部右侧,230,242,92,255
48,Frontal operculum RH,额叶岛盖右侧,226,242,92,255
49,Lingual gyrus mid-anterior,舌回中前部,223,242,92,255
50,Cerebellum VIIIb posterior,小脑VIIIb后部,219,242,92,255
51,Central sulcus superior RH,中央沟上部右侧,216,242,92,255
52,Cerebrospinal fluid (between parietal lobe and skull),顶叶与颅骨之间的脑脊液,212,242,92,255
53,Caudate anterior,尾状核前部,209,242,92,255
54,Superior frontal sulcus anterior RH,上额沟前部右侧,205,242,92,255
55,Corona radiata anterior,放射冠前部,202,242,92,255
56,Suborbital cortex,眶下皮质,198,242,92,255
57,Inferior frontal gyrus LH,额下回左侧,195,242,92,255
58,Caudate superior,尾状核上部,191,242,92,255
59,Fusiform gyrus posterior LH,梭状回后部左侧,188,242,92,255
60,Genu of callosal body,胼胝体膝,184,242,92,255
61,Frontal pole superior,额极上部,181,242,92,255
62,Lingual gyrus middle,舌回中部,177,242,92,255
63,Intraparietal sulcus superior RH,顶内沟上部右侧,174,242,92,255
64,Angular gyrus inferior LH,角回下部左侧,170,242,92,255
65,Precuneus anterior,楔前叶前部,167,242,92,255
66,Anterior commissure,前连合,163,242,92,255
67,Middle frontal gyrus middle RH,额中回中部右侧,160,242,92,255
68,Superior frontal gyrus posterior LH,上额回后部左侧,156,242,92,255
69,Cerebellum VIIIb anterior,小脑VIIIb前部,153,242,92,255
70,Parietal operculum,顶叶盖,149,242,92,255
71,Isthmus of corpus callosum,的,146,242,92,255
72,Putamen inferior,壳核下部,142,242,92,255
73,Supramarginal gyrus,缘上回,138,242,92,255
74,Insula,脑岛,135,242,92,255
75,Inferior frontal sulcus posterior LH,额下沟后部左侧,131,242,92,255
76,Superior frontal gyrus posterior,上额回后部,128,242,92,255
77,Cuneus posterior,楔叶后部,124,242,92,255
78,Lingual gyrus mid-posterior,舌回中后部,121,242,92,255
79,Frontal pole lateral RH,额极外侧右侧,117,242,92,255
80,Inferior temporal gyrus posterior LH,颞下回后部左侧,114,242,92,255
81,Cerebellum Crus I RH,小脑Crus I右侧,110,242,92,255
82,Cerebrospinal fluid (between superior frontal gyrus anterior and skull),额上回前部与颅骨之间的脑脊液,107,242,92,255
83,Central sulcus inferior,中央沟下部,103,242,92,255
84,Superior occipital sulcus inferior,上枕沟下部,100,242,92,255
85,Ventral visual stream,腹侧视觉通路,96,242,92,255
