label_en,label_zh
Amygdala,杏仁核
Amygdala anterior,杏仁核前部
Amygdala inferior,杏仁核下部
Amygdala posterior,杏仁核后部
Angular gyrus LH,角回左侧
Angular gyrus RH,角回右侧
Angular gyrus anterior LH,角回前部左侧
Angular gyrus anterior RH,角回前部右侧
Angular gyrus antero-inferior LH,角回下部左侧
Angular gyrus antero-superior LH,角回前上部左侧
Angular gyrus antero-superior RH,角回前上部右侧
Angular gyrus inferior,角回下部
Angular gyrus inferior LH,角回下部左侧
Angular gyrus inferior RH,角回下部右侧
Angular gyrus mid-anterior RH,角回前部右侧
Angular gyrus mid-posterior RH,角回后部右侧
Angular gyrus mid-superior RH,角回上部右侧
Angular gyrus middle RH,角回中部右侧
Angular gyrus posterior,角回后部
Angular gyrus posterior LH,角回后部左侧
Angular gyrus posterior RH,角回后部右侧
Angular gyrus posterior inferior RH,角回后部下部右侧
Angular gyrus posterior superior RH,角回后部上部右侧
Angular gyrus postero-inferior LH,角回后下部左侧
Angular gyrus postero-inferior RH,角回后下部右侧
Angular gyrus postero-superior LH,角回后上部左侧
Angular gyrus postero-superior RH,角回后上部右侧
Angular gyrus superior,角回上部
Angular gyrus superior LH,角回上部左侧
Angular gyrus superior RH,角回上部右侧
Angular gyrus superior anterior LH,角回上部前部左侧
Angular gyrus superior posterior LH,角回上部后部左侧
Angular sulcus anterior LH,角沟前部左侧
Angular sulcus anterior RH,角沟前部右侧
Angular sulcus inferior LH,角沟下部左侧
Angular sulcus inferior RH,角沟下部右侧
Angular sulcus mid-anterior LH,角沟前部左侧
Angular sulcus mid-anterior RH,角沟前部右侧
Angular sulcus mid-posterior LH,角沟后部左侧
Angular sulcus mid-posterior RH,角沟后部右侧
Angular sulcus posterior LH,角沟后部左侧
Angular sulcus posterior RH,角沟后部右侧
Angular sulcus superior LH,角沟上部左侧
Angular sulcus superior RH,角沟上部右侧
Anterior Cingulate Cortex,前部扣带皮层
Anterior cingulate cortex,前部扣带皮层
Anterior cingulate cortex anterior LH,前部扣带皮层前部左侧
Anterior cingulate cortex inferior,前部扣带皮层下部
Anterior cingulate cortex inferior LH,前部扣带皮层下部左侧
Anterior cingulate cortex middle,前部扣带皮层中部
Anterior cingulate cortex superior,前部扣带皮层上部
Anterior commissure,前部连合
Anterior corona radiata,前部放射冠
Anterior corona radiata LH,前部放射冠左侧
Anterior corona radiata RH,前部放射冠右侧
Anterior corona radiata anterior LH,前部放射冠前部左侧
Anterior corona radiata anterior RH,前部放射冠前部右侧
Anterior corona radiata inferior LH,前部放射冠下部左侧
Anterior corona radiata mid-inferior LH,前部放射冠下部左侧
Anterior corona radiata superior LH,前部放射冠上部左侧
Anterior corona radiata superior RH,前部放射冠上部右侧
Anterior horizontal ramus lateral fissure RH,前部外侧裂右侧
Anterior horizontal ramus of the Lateral fissure LH,前部的外侧裂左侧
Anterior horizontal ramus of the lateral fissure LH,前部的外侧裂左侧
Anterior insula LH,前部脑岛左侧
Anterior insula anterior LH,前部脑岛前部左侧
Anterior insula anterior RH,前部脑岛前部右侧
Anterior insula antero-inferior RH,前部脑岛下部右侧
Anterior insula antero-superior,前部脑岛前上部
Anterior insula inferior LH,前部脑岛下部左侧
Anterior insula mid-inferior LH,前部脑岛下部左侧
Anterior insula posterior RH,前部脑岛后部右侧
Anterior insula superior RH,前部脑岛上部右侧
Anterior limb of internal capsule,前部的内囊
Anterior occipital sulcus LH,前部沟左侧
Anterior occipital sulcus RH,前部沟右侧
Anterior occipital sulcus anterior RH,前部沟前部右侧
Anterior occipital sulcus posterior RH,前部沟后部右侧
Anterior occipital sulcus superior RH,前部沟上部右侧
Anterior orbital gyrus LH,前部眶回左侧
Anterior orbital gyrus RH,前部眶回右侧
Anterior orbital gyrus lateral,前部眶回外侧
Anterior orbital gyrus medial,前部眶回内侧
Anterior parts of occipitotemporal and collateral sulci LH,前部和外侧左侧
Anterior rami of the lateral fissure RH,前部的外侧裂右侧
Anterior thalamic radiation LH,前部左侧
Anterior thalamic radiation RH,前部右侧
Anterior thalamic radiation antero-superior LH,前部前上部左侧
Anterior thalamic radiation antero-superior RH,前部前上部右侧
Anterior vertical ramus of the Lateral fissure RH,前部的外侧裂右侧
Anterior vertical ramus of the lateral fissure LH,前部的外侧裂左侧
Arcuate fasciculus anterior RH,前部右侧
Arcuate fasciculus inferior LH,下部左侧
