index,label_en,label_zh,r,g,b,a
1,Area 3b (PostCG)_lh,Area 3b (PostCG)（左半球）,242,84,84,255
3,Area PF (IPL)_lh,Area PF (IPL)（左半球）,242,89,84,255
2,Area hOc4la (LOC)_lh,Area hOc4la (LOC)（左半球）,242,87,84,255
4,Area CoS1 (CoS)_lh,Area CoS1 (CoS)（左半球）,242,91,84,255
5,Astr (Amygdala)_lh,Astr (Amygdala)（左半球）,242,93,84,255
6,Area Id8 (Insula)_lh,Area Id8 (Insula)（左半球）,242,96,84,255
7,Area SFG4 (SFG)_lh,Area SFG4 (SFG)（左半球）,242,98,84,255
8,Area 1 (PostCG)_lh,Area 1 (PostCG)（左半球）,242,100,84,255
9,"Po (Thalamus, posterior Nucleus)_lh","Po (Thalamus, posterior Nucleus)（左半球）",242,103,84,255
10,Area Te 1.0 (HESCHL)_lh,Area Te 1.0 (HESCHL)（左半球）,242,105,84,255
11,Area STS2 (STS)_lh,Area STS2 (STS)（左半球）,242,107,84,255
12,"LD (Thalamus, lateral dorsal Nucleus)_lh","LD (Thalamus, lateral dorsal Nucleus)（左半球）",242,109,84,255
13,"Area 6mp (SMA, mesial SFG)_lh","Area 6mp (SMA, mesial SFG)（左半球）",242,112,84,255
14,Area Id3 (Insula)_lh,Area Id3 (Insula)（左半球）,242,114,84,255
15,"ZI (Thalamus, zona incerta)_lh","ZI (Thalamus, zona incerta)（左半球）",242,116,84,255
16,CGM (Metathalamus)_lh,CGM (Metathalamus)（左半球）,242,119,84,255
17,"Area PirTB (PiriformCortexMesial, temporobasal)_lh","Area PirTB (PiriformCortexMesial, temporobasal)（左半球）",242,121,84,255
18,"NRp (Midbrain, Nucleus Ruber, parvocellular part)_lh","NRp (Midbrain, Nucleus Ruber, parvocellular part)（左半球）",242,123,84,255
21,Area TI (STG)_lh,Area TI (STG)（左半球）,242,130,84,255
20,Area p24ab (pACC)_lh,Area p24ab (pACC)（左半球）,242,128,84,255
19,Area PFt (IPL)_lh,Area PFt (IPL)（左半球）,242,125,84,255
22,Area FG5 (FusG)_lh,Area FG5 (FusG)（左半球）,242,132,84,255
24,"PUi (Thalamus, inferior pulvinar)_lh","PUi (Thalamus, inferior pulvinar)（左半球）",242,137,84,255
23,"PUm (Thalamus, medial pulvinar)_lh","PUm (Thalamus, medial pulvinar)（左半球）",242,134,84,255
25,Area Te 3 (STG)_lh,Area Te 3 (STG)（左半球）,242,139,84,255
27,Frontal-to-Occipital (GapMap)_lh,Frontal-to-Occipital (GapMap)（左半球）,242,144,84,255
26,Area MFG1 (MFG)_lh,Area MFG1 (MFG)（左半球）,242,141,84,255
28,Area 7P (SPL)_lh,Area 7P (SPL)（左半球）,242,146,84,255
29,Area 6r1 (PreCG)_lh,Area 6r1 (PreCG)（左半球）,242,148,84,255
