index,label_en,label_zh,r,g,b,a
1,Area 3b (PostCG)_lh,3b区（中央后回）（左半球）,242,92,92,255
2,Area hOc4la (LOC)_lh,hOc4la区（外侧枕皮层）（左半球）,242,94,92,255
3,Area PF (IPL)_lh,PF区（顶下小叶）（左半球）,242,96,92,255
4,Area CoS1 (CoS)_lh,CoS1区（侧副沟）（左半球）,242,98,92,255
5,Astr (Amygdala)_lh,Astr区（杏仁核）（左半球）,242,100,92,255
6,Area Id8 (Insula)_lh,Id8区（脑岛）（左半球）,242,102,92,255
7,Area SFG4 (SFG)_lh,SFG4区（额上回）（左半球）,242,105,92,255
8,Area 1 (PostCG)_lh,1区（中央后回）（左半球）,242,107,92,255
9,"Po (Thalamus, posterior Nucleus)_lh",Po区（丘脑、后核）（左半球）,242,109,92,255
10,Area Te 1.0 (HESCHL)_lh,Te 1.0区（赫氏回）（左半球）,242,111,92,255
11,Area STS2 (STS)_lh,STS2区（颞上沟）（左半球）,242,113,92,255
12,"LD (Thalamus, lateral dorsal Nucleus)_lh",LD区（丘脑、外侧背核）（左半球）,242,115,92,255
13,"Area 6mp (SMA, mesial SFG)_lh",6mp区（辅助运动区、额上回内侧部）（左半球）,242,118,92,255
14,Area Id3 (Insula)_lh,Id3区（脑岛）（左半球）,242,120,92,255
15,"ZI (Thalamus, zona incerta)_lh",ZI区（丘脑、不确定带）（左半球）,242,122,92,255
16,CGM (Metathalamus)_lh,CGM区（后丘脑）（左半球）,242,124,92,255
17,"Area PirTB (PiriformCortexMesial, temporobasal)_lh",PirTB区（内侧梨状皮层、颞底部）（左半球）,242,126,92,255
18,"NRp (Midbrain, Nucleus Ruber, parvocellular part)_lh",NRp区（中脑、红核、小细胞部）（左半球）,242,129,92,255
19,Area PFt (IPL)_lh,PFt区（顶下小叶）（左半球）,242,131,92,255
20,Area p24ab (pACC)_lh,p24ab区（前扣带皮层前部）（左半球）,242,133,92,255
21,Area TI (STG)_lh,TI区（颞上回）（左半球）,242,135,92,255
22,Area FG5 (FusG)_lh,FG5区（梭状回）（左半球）,242,137,92,255
23,"PUm (Thalamus, medial pulvinar)_lh",PUm区（丘脑、内侧丘脑枕）（左半球）,242,139,92,255
24,"PUi (Thalamus, inferior pulvinar)_lh",PUi区（丘脑、下丘脑枕）（左半球）,242,142,92,255
25,Area Te 3 (STG)_lh,Te 3区（颞上回）（左半球）,242,144,92,255
26,Area MFG1 (MFG)_lh,MFG1区（额中回）（左半球）,242,146,92,255
27,Frontal-to-Occipital (GapMap)_lh,Frontal-to-Occipital区（间隙图）（左半球）,242,148,92,255
28,Area 7P (SPL)_lh,7P区（顶上小叶）（左半球）,242,150,92,255
29,Area 6r1 (PreCG)_lh,6r1区（中央前回）（左半球）,242,153,92,255
30,Area 6d1 (PreCG)_lh,6d1区（中央前回）（左半球）,242,155,92,255
31,"VA (Thalamus, ventral anterior Nucleus (ventral))_lh",VA区（丘脑、腹前核腹侧部）（左半球）,242,157,92,255
32,Area hIP4 (IPS)_lh,hIP4区（顶内沟）（左半球）,242,159,92,255
33,Area Op6 (Frontal Operculum)_lh,Op6区（额盖）（左半球）,242,161,92,255
34,Area FG2 (FusG)_lh,FG2区（梭状回）（左半球）,242,163,92,255
35,Area hIP6 (IPS)_lh,hIP6区（顶内沟）（左半球）,242,166,92,255
36,Area Fo5 (OFC)_lh,Fo5区（眶额皮层）（左半球）,242,168,92,255
37,"Area TPJ (STG, SMG)_lh",TPJ区（颞上回、缘上回）（左半球）,242,170,92,255
