index,label_en,label_zh,r,g,b,a
1,Retrocalcarine cortex RH,距后皮质右侧,242,92,92,255
2,Superior longitudinal fasciculus II mid-posterior RH,上纵束II中部后右侧,242,92,92,255
3,Arcuate fasciculus mid-anterior RH,弓状束中部前侧右侧,242,93,92,255
4,Cerebrospinal fluid (between middle frontal gyrus anterior and skull),额中回前部与颅骨之间的脑脊液,242,94,92,255
5,Precentral sulcus mid-inferior RH,中央前沟中部下部右侧,242,95,92,255
6,Putamen inferior RH,壳核下部右侧,242,96,92,255
7,Paracingulate gyrus posterior,扣带回旁回后部,242,97,92,255
8,Inferior temporal sulcus anterior RH,颞下沟前部右侧,242,98,92,255
9,Parahippocampal gyrus anterior,旁海马回前部,242,99,92,255
10,Calcarine cortex mid-posterior RH,距状皮层中部后侧右侧,242,99,92,255
11,Middle frontal gyrus superior RH,额中回上部右侧,242,100,92,255
12,Cerebrospinal fluid (between posterior intraparietal sulcus and skull LH),后顶内沟与颅骨左侧之间的脑脊液,242,101,92,255
13,Superior parietal lobule anterior LH,上顶叶前部左侧,242,102,92,255
14,Precentral gyrus middle,中央前回中部,242,103,92,255
15,Postcentral sulcus superior RH,中央后沟上部右侧,242,104,92,255
16,Subcentral gyrus RH,中央下回右侧,242,105,92,255
17,Frontal pole lateral RH,额极外侧右侧,242,106,92,255
18,Postcentral sulcus middle LH,中央后沟中部左侧,242,107,92,255
19,Inferior longitudinal fasciculus posterior RH,下纵束后部右侧,242,107,92,255
20,Parieto-occipital sulcus middle,顶枕沟中部,242,108,92,255
21,Lateral fissure posterior limb LH,外侧裂后肢左侧,242,109,92,255
22,Superior corona radiata RH,上放射冠右侧,242,110,92,255
23,Fusiform gyrus mid-posterior RH,梭状回中后部右侧,242,111,92,255
24,Cingulate sulcus mid-posterior LH,扣带沟中后部左侧,242,112,92,255
25,Intraparietal sulcus posterior RH,顶内沟后部右侧,242,113,92,255
26,Anterior insula antero-inferior RH,前岛叶前下部右侧,242,114,92,255
27,External capsule anterior LH,外囊前部左侧,242,114,92,255
28,Corpus callosum splenium superior,胼胝体压部上部,242,115,92,255
29,Internal capsule genu posterior,内囊膝部后份,242,116,92,255
30,Superior parietal lobule posterior RH,上顶叶后部右侧,242,117,92,255
31,Lateral occipital cortex anterior RH,枕外侧皮质前部右侧,242,118,92,255
